Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dr. S. Muralidhar,Male,Hindu,General,8-Aug-1961,,,29-May-2006,7-Aug-2023,No,No,Delhi High Court,Yes,Punjab and Haryana High Court,6-Mar-2020,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,,No,,,Yes,,Yes,,Vivekananda College,Science (Chemistry),University of Madras,1984,1984,Bar Council of Tamil Nadu,No,No,Yes
Dr. Sanju Panda,Female,Hindu,General,10-Jul-1959,Odisha,Parlakhemundi,1-Mar-2007,9-Jul-2021,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,,Yes,,,,,1985,1985,Odisha State Bar Council ,No,No,No
Sanjay Kumar Mishra,Male,Hindu,General,29-Dec-1961,Odisha,Bolangir,7-Oct-2009,28-Dec-2023,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,Yes,"Prithviraj High School, Bolangir","Rajendra College, Bolangir",Commerce (Honours),Delhi University,1987,1988,Odisha State Bar Council ,No,Yes,No
Chitta Ranjan Dash,Male,Hindu,,21-May-1962,Odisha,Sonepur,7-Oct-2009,20-May-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,Yes,No,,,,,Yes,"Panchayata Samiti High School, Ullunda","B.J.B. College, Bhubaneswar ",Political Science (Honours),"Madhu Sudan Law College, Cuttack",1985,1986,Odisha State Bar Council ,No,No,Yes
Biswajit Mohanty,Male,Hindu,General,22-Oct-1960,Odisha,Cuttack,20-Jun-2013,21-Oct-2022,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,,No,,,,,Yes,"Secondary Board High School, Cuttack"," Ravenshaw College, Cuttack",Political Science (Honours),"Campus Law Centre, Delhi University",1985,1985,Odisha State Bar Council ,No,Yes,No
Dr. Bidyut Ranjan Sarangi,Male,Hindu,,20-Jul-1960,Odisha,"Pantikharisasan, Odagaon",20-Jun-2013,19-Jul-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,No,,No,Yes,Yes,Yes,Yes,Yes,,"B.J.B. College, Bhubaneswar",Commerce (Honours),"M.S. Law College, Cuttack",,1985,Odisha State Bar Council ,No,Yes,Yes
Debabrata Dash,Male,Hindu,,12-Oct-1962,Odisha,Baripada,29-Nov-2013,11-Oct-2024,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,Yes,"MKC High School, Baripada","MPC College, Baripada",Physics (Honours),"Mayurbhanj Law College, Utkal University",1984,1985,Odisha State Bar Council ,No,No,No
Satrughana Pujahari,Male,Hindu,,24-Sep-1960,Odisha,"Subalaya, Sonepur",29-Nov-2013,23-Sep-2022,No,No,Odisha High Court,Yes,Madras High Court,23-Nov-2017,Orissa High Court,19-Nov-2018,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,Yes,"Subalaya High School, Sonepur","Rajendra College, Bolangir",Political Science (Honours),"Lal Lajpat Ray Law College, Sambalpur",1986,,Odisha State Bar Council ,No,No,No
Biswanath Rath,Male,Hindu,General,7-Sep-1961,Odisha,,2-Jul-2014,7-Sep-2023,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,,Yes,Yes,"Ravenshaw Collegiate School, Cuttack",Utkal University,Arts,"M.S. Law College, Cuttack",,1985,Odisha State Bar Council ,No,No,No
Sangam Kumar Sahoo,Male,Hindu,,5-Jun-1964,Odisha,,2-Jul-2014,4-Jun-2026,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,,,,,Yes,"Nuabazar High School, Cuttack.","Stewart Science College, Cuttack",Science,"The Law College, Cuttack",,1989,Odisha State Bar Council ,No,Yes,No
Krushna Ram Mohapatra,Male,Hindu,General,18-Apr-1965,Odisha,,17-Apr-2015,17-Apr-2027,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,,,,,Arts,,,1988,Odisha State Bar Council ,No,No,No
Bibhu Prasad Routray,Male,Hindu,,,,,8-Nov-2019,31-Jan-2032,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,,,,,,,,,,,,,,,,,,,,
Sanjeeb Kumar Panigrahi,Male,Hindu,General,,,,10-Feb-2020,28-Jul-2034,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,Yes,,,,,,2006,Odisha State Bar Council ,No,,Yes
Savitri Ratho,Female,Hindu,General,,,,11-Jun-2020,3-Jul-2030,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,,,,,,,,,,,,,,,,,,,
Mohammad Rafiq,Male,Muslim,,25-May-1960,Rajasthan,"Sujangarh, Charu",15-May-2006,24-May-2022,No,No,Rajasthan High Court,No,,,,,,,Yes,Meghalaya High Court,Odisha High Court,Madhya Pradesh High Court,No,,Bar,No,Yes,No,NA,Yes,No,NA,NA,Yes,NA,,,University of Rajasthan,Commerce (Hons.),University of Rajasthan,1984,1984,Bar Council at Rajasthan,No,Yes,No
Kalpesh Satyendra Jhaveri,Male,Hindu,,5-Jan-1958,,,7-Mar-2004,4-Jan-2020,No,No,Gujarat High Court,Yes,Rajasthan High Court,23-Aug-2016,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,,No,,,,University of Gujarat,Science,Univesity of Gujarat,,1983,Bar Council of Gujarat,No,No,No
Vineet Saran,Male,Hindu,General,11-May-1957,Uttar Pradesh,Bijnor,14-Feb-2002,10-May-2022,No,No,Allahabad High Court,Yes,Karnataka High Court,16-Feb-2015,,,,,Yes,Odisha High Court,,,Yes,7-Aug-2018,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,,,Allahabad University,Arts,Allahabad University,1979,1980,Bar Council of Uttar Pradesh,No,No,No
Dheerendra Hiralal Waghela,Male,Hindu,,11-Aug-1954,Gujarat,Rajkot,17-Sep-1999,10-Aug-2016,No,No,Gujarat High Court,No,,,,,,,Yes,Karnataka High Court,Odisha High Court,Bombay High Court,No,,Bar,No,Yes,No,NA,Yes,No,Yes,,Yes,Yes,,Swaminarayan Gurukul,"P.D. Malaviya Commerce College, Rajkot",Commerce ,"A.M.P. Law College, Rajkot",1972,1978,Bar Council of Gujarat,No,No,Yes
Amitava Roy,Male,Hindu,General,1-Mar-1953,West Bengal,Kolkata,4-Feb-2002,28-Feb-2015,No,No,Gauhati High Court,No,,,,,,,Yes,Rajasthan High Court,Odisha High Court,,Yes,27-Feb-2015,Bar,No,Yes,Yes,NA,Yes,No,,,,,,Dibrugarh,Dibrugarh University,Physics,Dibrugarh University,1976,1976,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,Yes,No
Adarsh Kumar Goel,Male,Hindu,,7-Jul-1953,Haryana,Hissar,2-Jul-2001,6-Jul-2018,No,No,Punjab & Haryana High Court,Yes,Gauhati High Court,12-Sep-2011,,,,,Yes,Gauhati High Court,Odisha High Court,,Yes,7-Jul-2014,Bar,No,Yes,Yes,NA,Yes,No,,,,,,,Punjab University,Arts (Honours),Punjab University,,1974,Bar Council of Punjab and Haryana,No,No,No
Chockalingam Nagappan,Male,Hindu,,4-Oct-1951,Tamil Nadu,Karur,27-Sep-2000,3-Oct-2016,No,No,Madras High Court,No,,,,,,,Yes,Odisha High Court,,,Yes,19-Sep-2013,Bar,Yes,Yes,No,No,,No,,,,,Yes,Karur," Madura College, Madurai",Chemistry,Madras Law College,1974,,Bar Council of Tamil Nadu & Puducherry,No,No,Yes
Venkategowda Gopalagowda,Male,Hindu,,6-Oct-1951,Karnataka,"Peddur, Chikkaballapor",11-Jun-1997,5-Oct-2016,No,No,Karnataka High Court,No,,,,,,,Yes,Odisha High Court,,,Yes,24-Dec-2012,Bar,No,Yes,No,NA,Yes,No,,,,,Yes,,Mysore University,Science,SJRLC Bangalore,1975,1975,Bar Council of Karnataka,No,No,No
Bilal Nazki,Male,Muslim,,18-Nov-1947,Jammu & Kashmir,Srinagar,6-Jan-1995,18-Nov-2009,No,No,Jammu & Kashmir High Court,Yes,Andhra Pradesh High Court,15-Oct-1997,Bombay High Court,7-Jan-2008,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,Yes,Yes,Yes,,,,,,,,,,,,,,
Dr. Balbir Singh Chauhan,Male,Hindu,General,2-Jul-1949,,,5-Apr-1995,1-Jul-2014,No,No,Allahabad High Court,Yes,Rajasthan High Court,7-Jul-1997,Allahabad High Court,13-Mar-2003,,,Yes,Odisha High Court,,,Yes,11-May-2009,Bar,No,Yes,No,NA,Yes,No,,,Yes,,,,,Science,Banaras Hindu University,1974,1974,Bar Council of Uttar Pradesh,Yes,No,No
Asok Kumar Ganguly,Male,Hindu,General,3-Feb-1947,West Bengal,,10-Jan-1994,3-Feb-2012,No,No,Calcutta High Court,Yes,Patna High Court,4-Apr-1994,Calcutta High Court,1-Aug-2000,,,Yes,Odisha High Court,Madras High Court,,Yes,7-Dec-2008,Bar,No,Yes,No,NA,,No,,,,,,Kidderpore Academy,University of Calcutta,English,University of Calcutta,1970,1971,Bar Council of West Bengal,No,Yes,No
Sujit Barman Roy,Male,Hindu,General,28-Jan-1945,,,14-Nov-1991,21-Jan-2007,No,No,Gauhati High Court,Yes,Calcutta High Court,3-Oct-1997,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,Yes,Yes,,,,,,"Pathabhavan, School Section of Santiniketan, Visva Bharati University","Maharaja Bir Bikram College, Agartala",Arts,University of Calcutta,1974,1975,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Perubhemba Krishna Ayer Balasubramanyan,Male,Hindu,General,28-Aug-1942,,,4-Jun-1992,28-Aug-2007,No,No,Kerala High Court,No,,,,,,,Yes,Odisha High Court,Jharkhand High Court,,Yes,27-Aug-2004,Bar,No,Yes,No,NA,Yes,No,,Yes,Yes,,Yes,Village School,"Government College, Chittur (Palghat District)",Science,Madras Law College,,1964,Bar Council of Tamil Nadu & Puducherry,No,No,No
Nyaka Yellapa Hanumanthappa,Male,Hindu,,25-Sep-1939,Karnataka,"Rampura village, Chitradurga",29-Mar-1990,24-Sep-2001,No,No,Karnataka High Court,Yes,Andhra Pradesh High Court,28-Apr-1994,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,,"Chithradurga, Bellary",Bellary,Arts,Bangalore University,1965,1967,Bar Council of Karnataka,No,Yes,Yes
Biswanath Agrawal,Male,Hindu,,15-Oct-1994,,,17-Nov-1986,15-Oct-2009,No,No,Patna High Court,No,,,,,,,Yes,Odisha High Court,,,Yes,19-Oct-2000,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1966,Bar Council of Bihar,No,No,No
Sailendu Nath Phukan,Male,Hindu,,1-Apr-1937,,,11-Oct-1985,31-Mar-2002,No,No,Gauhati High Court,Yes,Himachal Pradesh High Court,30-Sep-1994,,,,,Yes,Himachal Pradesh High Court,Odisha High Court,,Yes,28-Jan-1999,Service,Yes,Yes,No,,,No,,,,,,,,Science,,,1962,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",No,No,No
Vallabhdas Aidan Mohta,Male,Hindu,General,26-Apr-1933,Maharashtra,Akola,27-Apr-1979,25-Apr-1995,No,No,Bombay High Court,No,,,,,,,Yes,Odisha High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,," New English High School, Akola","D.A.V. College, Kanpur",,"Law College, Nagpur",,,Bar Council of Maharastra,No,No,No
Girish Thakurlal Nanavati,Male,Hindu,General,17-Feb-1935,Gujarat,"Jambusar, Bharucha",19-Jul-1979,16-Feb-2000,No,No,Gujarat High Court,Yes,Odisha High Court,14-Dec-1993,,,,,Yes,Odisha High Court,,,Yes,6-Mar-1995,Bar,No,Yes,No,No,Yes,No,,,,,,,"St. Xavier's College, Bombay",Arts,"Government Law College, Bombay",1956,1958,Bar Council of Maharastra,No,Yes,Yes
Banwari Lal Hansaria,Male,Hindu,General,25-Dec-1931,,,12-Feb-1979,4-Feb-1997,No,No,Gauhati High Court,No,,,,,,,Yes,Odisha High Court,,,Yes,14-Dec-1993,Service,No,Yes,No,Yes,,No,,,,,,"G.G.J. High School, Sardarshahar","Birla Arts College, Pilani",Arts,Calcutta University,,1962,"Bar Council of Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh",Yes,Yes,No
Dr. Arijit Pasayat,Male,Hindu,,10-May-1944,Odisha,,20-Mar-1989,10-May-2009,No,No,Odisha High Court,No,,,,,,,Yes,Kerala High Court,Delhi High Court,,Yes,19-Oct-2001,Bar,No,Yes,No,NA,,No,,,,,,,,Honours in English and BCom,"MS Law College, Cuttack",,1968,Odisha State Bar Council ,No,No,Yes
Purna Chandra Mishra,Male,Hindu,General,24-Dec-1932,Odisha,,1-Jun-1983,23-Dec-1994,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,,Yes,,,,,,,,,Odisha State Bar Council ,No,No,No
Gopala Ballav Patnaik,Male,Hindu,General,19-Dec-1937,Odisha,Cuttack,1-Jun-1983,19-Dec-2002,No,No,Odisha High Court,No,,,,,,,Yes,Patna High Court,,,Yes,11-Sep-1995,Bar,No,Yes,No,NA,Yes,No,,,,,,"Ravenshaw College, Cuttack","Ewing Christian College, Allahabad University",Science,"Madhusudan Law College, Utkal University",,1962,Odisha State Bar Council ,No,No,No
Deba Priya Mohapatra,Male,Hindu,General,3-Aug-1937,,,18-Nov-1983,2-Aug-2002,No,No,Odisha High Court,No,,,,,,,Yes,Allahabad High Court,,,Yes,9-Dec-1998,Bar,No,Yes,No,NA,Yes,No,,,Yes,,,,,,,,1960,Odisha State Bar Council ,No,No,No
Sarat Chandra Mohapatra,Male,Hindu,General,24-Mar-1933,,,20-Jun-1984,,,,Odisha High Court,Yes,Allahabad High Court,,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1958,Odisha State Bar Council ,No,No,No
Lingaraj Rath,Male,Hindu,General,1-Oct-1935,,,21-Mar-1986,1-Oct-1997,No,No,Odisha High Court,Yes,Andhra Pradesh High Court,11-May-1994,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,,,,,,,,Arts,,,1960,Odisha State Bar Council ,No,No,No
Amiya Kumari Padhi,Female,Hindu,General,15-Sep-1933,,,18-Apr-1988,14-Sep-1995,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,,,,,,,1962,Odisha State Bar Council ,No,No,No
Kishore Chandra Jagadeb Roy,Male,Hindu,General,8-Mar-1932,,,8-May-1989,7-Mar-1994,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,,,,,,,,,,,1964,Odisha State Bar Council ,No,No,No
Subhransu Kumar Mohanty,Male,Hindu,General,3-Feb-1933,,,21-Sep-1990,2-Feb-1995,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,,NA,Yes,,NA,NA,NA,NA,NA,NA,,,,,,,Odisha State Bar Council ,No,No,No
Debendra Mohan Patnaik,Male,Hindu,General,1-Sep-1937,,,7-Jan-1991,31-Aug-1999,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,Yes,,NA,,,,,,,,,,,,Odisha State Bar Council ,No,No,No
Bichitra Nanda Dash,Male,Hindu,,8-Aug-1933,,,7-Jan-1991,7-Aug-1995,No,No,Odisha High Court,No,,,,,,,No,,,,No,,Service,Yes,,NA,Yes,,NA,,,,,,,,,,,,Odisha State Bar Council ,No,No,No
Radha Kirshna Patra,Male,Hindu,General,24-Nov-1942,,,22-Jun-1992,8-Jul-2003,No,No,Odisha High Court,No,,,,,,,Yes,Sikkim High Court,,,No,,Bar,No,Yes,No,No,Yes,No,,,,,,,,,,,1966,Odisha State Bar Council ,No,No,No
