Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Dr. Ananga Kumar Patnaik,Male,Hindu,General,3-Jun-1949,,,13-Jan-1994,2-Jun-2014,No,No,Odisha High Court ,Yes,Gauhati High Court,7-Feb-1994,Odisha High Court ,15-Apr-2002,,,Yes,Chhattisgarh High Court,Madhya Pradesh High Court,,Yes,17-Nov-2009,Bar,No,Yes,No,No,Yes,No,Yes,,Yes,,,"Rajkumar College, Raipur",Delhi University,Political Science (Honours),"Madhusudan Law College, Cuttack, Utkal University",,1974,Odisha State Bar Council ,No,No,No
Basudeb Panigrahi,Male,Hindu,General,19-Jan-1942,,,31-Mar-1994,9-Jul-2003,No,No,Odisha High Court ,Yes,Calcutta High Court ,21-Nov-1994,Odisha High Court ,4-Jun-2001,,,Yes,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,,,Arts,,,1968,Odisha State Bar Council ,No,No,No
Prakash Chandra Naik,Male,Hindu,General,2-Sep-1941,,,16-Mar-1994,14-Apr-2002,No,No,Madhya Pradesh High Court ,Yes,Odisha High Court ,11-Apr-1994,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,,,1965,State Bar Council of Madhya Pradesh ,No,No,No
Kanhaiya Lal Issrani,Male,Hindu,,20-Mar-1933,Pakistan,Sind ,28-Jul-1990,20-Mar-1995,No,No,Madhya Pradesh High Court ,Yes,Odisha High Court ,28-Apr-1994,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,Yes,Yes,,,Arts,,,1962,State Bar Council of Madhya Pradesh ,No,No,No
Bijay Narayan Patnaik,Male,Hindu,General,23-Jul-1936,Odisha ,"Berhampur, Ganjam ",30-Jun-1994,22-Jul-1998,No,No,Odisha High Court ,Yes,Kerala High Court ,26-Jul-1994,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,No,,,,"Madhusudan Law College, Cuttack, Utkal University",1957,1958,Odisha State Bar Council ,No,No,Yes
Susanta Chatterji,Male,Hindu,General,2-Apr-1937,,,17-Jan-1986,1-Apr-1999,No,No,Calcutta High Court ,Yes,Odisha High Court ,22-Dec-1994,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,,,1961,Bar Council of West Bengal,No,No,No
Pradipta Ray,Male,Hindu,General,30-Apr-1942,,,19-Dec-1994,7-Jan-2003,No,No,Calcutta High Court ,Yes,Odisha High Court ,9-Jan-1995,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,,,1969,Bar Council of West Bengal,No,Yes,No
Ratnakar Dash,Male,Hindu,,13-Jan-1942,,,14-Mar-1995,12-Jan-2004,No,No,Odisha High Court ,Yes,Allahabad High Court ,20-Dec-1999,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,,,,,,1967,Odisha State Bar Council ,No,No,No
Prafulla Kumar Misra,Male,Hindu,General,17-Sep-1947,,,17-Jan-1996,16-Sep-2009,No,No,Odisha High Court ,Yes,Madras High Court ,25-Jun-2001,Patna High Court ,12-Aug-2009,,,Yes,Patna High Court ,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,Utkal University ,1968,1968,Odisha State Bar Council ,No,No,No
Pradyumna Kumar Mohanty,Male,Hindu,General,2-Jan-1945,,,17-Jan-1996,1-Jan-2007,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,,,1968,Odisha State Bar Council ,No,No,No
Dipak Misra,Male,Hindu,General,3-Oct-1953,Odisha ,Cuttack,17-Jan-1996,2-Oct-2018,No,No,Odisha High Court ,Yes,Madhya Pradesh High Court ,19-Dec-1997,Patna High Court ,23-Dec-2009,Delhi High Court ,24-May-2010,Yes,Patna High Court ,Delhi High Court ,,Yes,10-Oct-2011,Bar,No,Yes,No,NA,,No,,,,,No,"Godabarish Vidyapitha, Banpur, Odisha ",,,"Madhusudhan Law College, Cuttack",1977,1977,Odisha State Bar Council ,No,Yes,No
Chira Ranjan Pal,Male,Hindu,,1-Jul-1940,,,17-Jan-1996,30-Jun-2002,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,,,,,,1966,Odisha State Bar Council ,No,No,No
Sambhu Charan Datta,Male,Hindu,General,1-Sep-1936,,,17-Nov-1994,31-Aug-1998,No,No,Calcutta High Court ,Yes,Punjab and Haryana High Court ,8-Dec-1994,Odisha High Court ,2-Apr-1996,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,,,,No,No,No
Anup Deb,Male,Hindu,General,2-Jan-1943,,,16-Dec-1994,12-Mar-2002,Yes,No,Sikkim High Court ,Yes,Gauhati High Court ,9-Feb-1995,Odisha High Court ,2-Apr-1996,Sikkim High Court ,27-Dec-1997,No,,,,No,,Bar,No,Yes,Yes,NA,,No,,,,,No,,,,,,1972,Bar Council of West Bengal,No,No,No
Prafulla Kumar Tripathy,Male,Hindu,General,7-Nov-1947,,,14-Jun-1997,6-Nov-2009,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,No,,,,,,1972,Odisha State Bar Council ,No,No,No
Choudhury Pratap Kishore Misra,Male,Hindu,General,5-Jan-1942,,,17-Jun-1999,4-Jan-2004,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,No,Yes,No,No,,,,,,1971,Odisha State Bar Council ,No,No,No
Prasanna Kumar Patra,Male,Hindu,General,22-Feb-1940,,,17-Jun-1999,21-Feb-2002,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,,,,1940,Odisha State Bar Council ,No,No,No
Mutika Papanna,Male,Hindu,,21-Jun-1942,Odisha ,"Subai village, Koraput",29-Sep-2000,3-Mar-2004,No,Yes,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,"Board High School, Gunupur ","Shri Krushna Chandra Gajapati College, Paralakhemundi, Odisha",Arts ,"Madhusudan Law College, Cuttack, Utkal University",1969,1973,Odisha State Bar Council ,No,Yes,No
A. Suryanarayan Naidu,Male,Hindu,General,5-Jul-1948,Odisha ,"Armstrong Road, Puri",29-Sep-2000,4-Jul-2010,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,"Puri Zilla School, Odisha ",,Science ,"Madhusudan Law College, Cuttack, Utkal University",1973,1973,Odisha State Bar Council ,No,No,No
Arun Kumar Parichha,Male,Hindu,,2-Oct-1946,Odisha ,"Patnagarh, Bolangir ",5-Jul-2004,2-Oct-2008,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Patnagarh High School ,"G.M. College, Sambalpur",Science ,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha State Bar Council ,No,No,No
Nityananda Prusty,Male,Hindu,,16-Oct-1946,Odisha ,"Malapada, Jajpur ",14-Jul-2004,15-Oct-2008,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,No,Yes,"N.C. High School, Jajpur ","S.C.S. College, Puri ",Philosophy (Hons.),"Madhusudan Law College, Cuttack, Utkal University",1971,1972,Odisha State Bar Council ,No,No,No
Jaya Prakash Mishra,Male,Hindu,General,9-Jan-1947,Odisha ,"Sonepur, Subarnapur ",29-Sep-2004,9-Jan-2009,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,NA,,No,,,,,No,,"Gangadhar Meher College, Sambalpur ",Arts ,"Lala Lajpat Rai Law College, Sambalpur ",1973,1974,Odisha State Bar Council ,No,No,No
Ashoke Kumar Samantaray,Male,Hindu,General,20-Feb-1946,Odisha ,"Nasipur village, Kendrapara ",20-Sep-2006,20-Feb-2008,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,,,Arts ,"Madhusudan Law College, Cuttack, Utkal University",1968,1968,Odisha State Bar Council ,No,No,No
Ishrat Masroor Quddusi,Male,Muslim,,18-Jun-1950,,,18-Apr-1995,17-Jun-2012,No,No,Allahabad High Court ,Yes,Odisha High Court ,6-Dec-2004,Chhattisgarh High Court ,26-Mar-2010,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,,,Arts ,,,1976,Bar Council of Uttar Pradesh ,No,No,No
Lalit Kumar Mishra,Male,Hindu,General,25-Jun-1955,Odisha ,"Jarasingha, Bolangir ",17-Jan-2008,16-Jan-2010,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,"N.B. High School, Jarasingha ","Rajendra College, Bolangir ",Arts ,"L.R. Law College, Sambalpur ",1976,1981,Odisha State Bar Council ,No,Yes,Yes
S.R. Singharavelu,Male,Hindu,,3-Aug-1947,Tamil Nadu ,Thanjavur ,3-Apr-2003,3-Aug-2009,No,No,Madras High Court ,Yes,Odisha High Court ,16-Mar-2008,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,"Little Flower High School, Kumakonam ","Government Arts College, Kumbakonam ",Science ,Madras Law College ,,1969,Bar Council of Tamil Nadu and Puducherry ,No,No,No
Harjinder Singh Bhalla,Male,Hindu,,21-Nov-1949,,,1-Apr-2006,20-Nov-2011,No,No,Punjab and Haryana High Court ,Yes,Odisha High Court ,28-Oct-2010,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,,Arts ,,,1972,Bar Council of Punjab and Haryana ,No,No,No
Aruna Suresh,Female,Hindu,,19-Feb-1950,,,4-Jul-2006,19-Feb-2012,No,No,Delhi High Court ,Yes,Odisha High Court ,28-Oct-2010,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Queens Mary School,"Indraprastha College for Women, Delhi University ",Arts ,"Campus Law Centre, Delhi University ",1972,,,No,No,No
Raghunath Biswal,Male,Hindu,,1-Apr-1950,Odisha ,"Reamal District, Deogarh ",5-Jul-2004,31-Mar-2012,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,Reamal High School ,"G.M. College, Sambalpur ",,"L.R. Law College, Sambalpur ",1977,1978,Odisha State Bar Council ,No,Yes,Yes
Laxmi Kanta Mohapatra,Male,Hindu,General,10-Jun-1954,Odisha ,,16-Sep-1999,9-Jun-2016,No,No,Odisha High Court ,Yes,Allahabad High Court ,17-Oct-2012,Manipur High Court ,21-Oct-2013,,,Yes,Manipur High Court ,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,,,Science ,"Madhusudan Law College, Cuttack, Utkal University",1977,1978,Odisha State Bar Council ,No,No,No
B.P. Das,Male,Hindu,,15-Nov-1950,Odisha ,"Ramgarh, Cuttack",17-Jun-1999,15-Nov-2012,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,,,Yes,Yes,Yes,"Christ Collegiate School, Cuttack ","Ravenshaw College, Cuttack ",Science ,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha State Bar Council ,No,Yes,No
B.K. Misra,Male,Hindu,General,2-Jun-1951,Odisha ,Angul ,25-Jan-2011,1-Jun-2013,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,Yes,"Jogendra Dev High School, Boudh","Gopabandhu Science College, Athgarh; Kendrapara College",Science; Political Science ,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha State Bar Council ,No,No,No
Madan Mohan Das,Male,Hindu,,5-Feb-1952,Odisha ,,20-Nov-2003,5-Feb-2014,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,No,Yes,Yes,No,No,,"Ravenshaw College, Cuttack ",Science ,"Madhusudan Law College, Cuttack, Utkal University",1974,1974,Odisha State Bar Council ,No,Yes,No
Bijaya Krishna Patel,Male,Hindu,General,24-Jan-1953,Odisha ,Sundergarh ,17-Jan-2008,14-Sep-2015,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,No,"Bhawani Sankar High School, Sundargarh","Government College, Sundargarh; G.M. Sambalpur ",Arts (Political Science Hons.),"Faculty of Law, Delhi University ",1978,1979,Odisha State Bar Council ,No,Yes,No
Biswanath Mahapatra ,Male,Hindu,General,1-Apr-1953,Odisha ,,7-Nov-2007,31-Mar-2015,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,"Bhargabi High School, Biranarasinghapur, Puri ","S.C.S. College, Puri",Arts,"Faculty of Law, Delhi University ",1977,1978,Odisha State Bar Council ,No,Yes,Yes
Raghubir Dash,Male,Hindu,,14-Feb-1954,Odisha ,Bargarh,4-Jan-2013,13-Feb-2016,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,"George High School, Bargarh ","G.M. College, Sambalpur",Arts,"L.R. Law College, Sambalpur ",1977,,,No,No,No
Pradip Kumar Mohanty,Male,Hindu,General,10-Jun-1955,Odisha ,Cuttack ,7-Mar-2002,9-Jun-2017,No,No,Odisha High Court ,Yes,Jharkhand High Court ,11-Apr-2016,,,,,Yes,Jharkhand High Court ,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,"Ravenshaw Collegiate School, Cuttack ","Ravenshaw College, Cuttack ",Commerce ,"Madhusudan Law College, Cuttack, Utkal University",1978,1978,Odisha State Bar Council ,No,No,No
Bhabni Prasad Ray,Male,Hindu,General,2-Mar-1955,Odisha ,"Shibapur villaga, Jagatsinghpur ",7-Nov-2007,1-Mar-2017,No,No,Odisha High Court ,Yes,Kerala High Court ,28-Oct-2010,Odisha High Court ,19-Mar-2014,,,No,,,,No,,Bar,No,Yes,No,NA,No,No,Yes,No,Yes,,No,"Queen of the Missions High School, Berhampur ","B.J.B. College, Bhubaneswar; Kendrapara College, Kendrapara ",Arts,"Utkal University Law College, Bhubaneswar ",1979,1979,Odisha State Bar Council ,No,No,No
Vinod Prasad,Male,Hindu,,28-Nov-1954,,,5-Oct-2005,27-Nov-2016,No,No,Allahabad High Court ,Yes,Odisha High Court ,2-Jul-2014,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,University of Allahabad ,1982,1982,Bar Council of Uttar Pradesh,No,Yes,No
Bijaya Kumar Nayak,Male,Hindu,General,2-Feb-1956,Odisha,"Kaimati village, Puri ",7-Oct-2009,1-Feb-2018,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,"Nimapara High School, Puri ","B.J.B. College, Bhubaneswar ",Arts,"I.L.S. Law College, Pune",1979,1982,Odisha State Bar Council ,No,No,Yes
Subhash Chandra Parija,Male,Hindu,General,1-Jul-1956,Odisha,"Kaligali, Cuttack ",7-Nov-2007,30-Jun-2018,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,Yes,"Stewart School, Cuttack ","Ravenshaw College, Cuttack ",Arts (Political Science Hons.),"Campus Law Centre, Delhi University ",1979,1979,Odisha State Bar Council ,No,No,No
Durga Prasanna Choudhury,Male,Hindu,General,3-Jul-1956,Odisha,,17-Apr-2015,2-Jul-2018,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,,No,,,,,No,,"Ravenshaw College, Cuttack ",Science ,"Madhusudan Law College, Cuttack, Utkal University",1979,1980,Odisha State Bar Council ,No,No,Yes
Indrajit Mahanty,Male,Hindu,General,11-Nov-1960,Odisha,Cuttack ,31-Mar-2006,10-Nov-2022,No,No,Odisha High Court ,Yes,Bombay High Court ,14-Nov-2018,Rajasthan High Court,6-Oct-2019,,,Yes,Rajasthan High Court ,,,No,,Bar,No,Yes,No,NA,,No,,,,,Yes,"Mount Hermon School, Darjeeling ","Ravenshaw College, Cuttack ",Commerce (Hons.),"Campus Law Centre, Delhi University ",,1984,Odisha State Bar Council ,Yes,No,Yes
Sujit Narayan Prasad,Male,Hindu,General,20-Jun-1967,,,26-Sep-2014,19-Jun-2029,No,No,Jharkhand High Court ,Yes,Odisha High Court ,12-Mar-2015,,,,,No,,,,No,,Bar,No,Yes,No,NA,,No,,,,,No,,,,,,1995,Jharkhand State Bar Council ,No,Yes,No
Jatindra Prasad Das,Male,Hindu,,19-May-1957,Odisha,Gadiljang village ,17-Apr-2015,18-May-2019,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,Yes,"Kalinda Model High School, Gadiljang ","S.C.S. College, Puri ",,"Madhusudan Law College, Cuttack, Utkal University",1978,1978,Odisha State Bar Council ,No,Yes,No
Dr. Akshaya Kumar Rath,Male,Hindu,General,13-Nov-1957,Odisha,"Jahanpur, Jagatsinghpur",20-Jun-2013,12-Nov-2019,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,No,Yes,"Somonath Bidyapitha, Jahanpur; Stewart Science College, Cuttack ","Ravenshaw College, Cuttack ",Commerce ,"Madhusudan Law College, Cuttack, Utkal University",1982,1983,Odisha State Bar Council ,No,No,Yes
Dr. Akshaya Kumar Mishra,Male,Hindu,General,8-Nov-1958,Odisha,"Goudashi, Binjharpur P.S., Jajpur ",19-Nov-2018,8-Nov-2020,No,No,Odisha High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,Yes,,No,,,,,No,"Sribanta High School, Kalyanpur; Narasingh Choudhury College, Jajpur ","Narasingh Choudhury College, Jajpur ",Arts ,"Madhusudan Law College, Cuttack, Utkal University",1981,1981,Odisha State Bar Council ,No,Yes,Yes
Pramath Patnaik,Male,Hindu,General,14-Jun-1959,Odisha ,,29-Sep-2014,13-Jun-2021,No,No,Odisha High Court ,Yes,Jharkhand High Court ,22-Dec-2014,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,"Government High School, Bhubaneswar ","B.J.B. College, Bhubaneswar",Arts (Hons.),"University Law College, Utkal University, Vani Vihar, Bhubaneswar ",1986,1986,Odisha State Bar Council ,No,Yes,No